CLIENT_CATEGORY;SEGMENT;Service;Channeltype;Source;football;DECLARED_FAULT;CREATE_DATE;CLOSETIME;all_num_of_repeat;num_of_repeat2;num_of_repeat5;num_of_repeat10;num_of_repeat30;num_of_repeat60;MITYPE;MIPRIORITY;MIIMPACT;TECHNICAL_DISTRICT;NumWFMforEI;Last_WFM_days_waiting;EIDayOfWeek;EIHourCreate
GS-SLA4;ГОС;8678;9203;8750;6;Нет трансляции на портале;1502072372;1502096767;39;2;2;2;6;9;0;0;0;0;0;0;2;5
GS-SLA4;ГОС;8678;9203;8750;6;Нет трансляции на портале;1502072362;1502092935;39;2;2;2;6;9;0;0;0;0;0;0;2;5
ФЛ;МР;8678;9204;8750;3;Телефония. Тишина в трубке;1502074771;1502111622;1;0;0;0;1;1;0;0;0;46;1;0;2;5
NKA;КОРП;9650;0;10768;2;Не работает канал VPN;1502078462;1502079015;0;0;0;0;0;0;0;0;0;0;0;0;2;7
ФЛ;МР;8678;9204;8750;3;ТВ. Проблемы с пультом;1502079377;1502097317;3;0;0;0;1;1;0;0;0;24;1;2;2;7
NKA;КОРП;9650;0;10768;2;Не работает канал VPN;1502079361;1502080118;0;0;0;0;0;0;0;0;0;0;0;0;2;7
ФЛ;МР;8678;9204;8750;3;Swap ONT Huawei;1502079502;1502122902;1;0;0;0;1;1;0;0;0;46;1;0;2;7
SOHO;КОРП;8678;9204;8750;4;Телефония. Тишина в трубке, нет зуммера;1502080835;1502091168;3;0;0;1;2;2;0;0;0;0;0;0;2;7
SOHO;КОРП;8680;9205;8750;4;Интернет. Не работает интернет;1502080922;1502195559;2;0;0;0;2;2;0;0;0;34;1;1;2;7
ФЛ;МР;8678;9205;8750;4;Доп. услуга. IP ОПС. Не удается поставить/снять с охраны.;1502081144;1502176655;4;0;0;0;2;2;0;0;0;56;1;1;2;7
ФЛ;МР;8678;9633;8750;3;Интернет. Ошибка 651, 678 или 815;1502081212;1502187760;8;0;0;0;2;2;0;0;0;48;1;1;2;7
GS-SLA4;ГОС;8678;9203;8750;6;Нет трансляции на портале;1502081376;1502095158;4;0;0;0;2;2;0;0;0;0;0;0;2;7
GS-SLA4;ГОС;8678;9203;8750;6;Нет трансляции на портале;1502081359;1502094824;4;0;0;0;2;2;0;0;0;0;0;0;2;7
SME;КОРП;9650;9204;8750;4;Телефония. Тишина в трубке, нет зуммера;1502081577;1502177494;5;0;0;0;1;1;0;0;0;0;0;0;2;7
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502081843;1502101675;6;0;0;0;2;2;0;0;0;48;1;1;2;7
ФЛ;МР;8678;9204;8750;3;Телефония. Тишина в трубке;1502081908;1502123884;1;0;0;0;1;1;0;0;0;45;1;0;2;7
ФЛ;МР;8680;9204;8750;4;Интернет. Не открываются все страницы;1502081928;1502106265;1;0;0;0;1;1;0;0;0;26;1;0;2;7
ФЛ;МР;8678;9204;8750;4;Интернет. Не открываются все страницы;1502082134;1502119767;1;0;0;0;1;1;0;0;0;41;2;0;2;8
GS-SLA4;ГОС;8678;9204;8750;4;Нет связи на основном канале;1502082183;1502092022;5;0;0;0;1;2;0;0;0;0;0;0;2;8
ФЛ;МР;8678;9204;8750;3;ONT не на линии. Проблема с оптическим кабелем;1502082473;1502117060;1;0;0;0;1;1;0;0;0;39;2;0;2;8
NKA;КОРП;9650;0;10768;4;Не работает канал VPN;1502082661;1502123106;0;0;0;0;0;0;0;0;0;0;0;0;2;8
ФЛ;МР;8680;9204;8750;3;Телефония. Тишина в трубке;1502082912;1502096051;2;0;0;0;2;2;0;0;0;22;1;0;2;8
ФЛ;МР;8680;9204;8750;3;ONT не на линии. Проблема с оптическим кабелем;1502083047;1502117649;1;0;0;0;1;1;0;0;0;28;1;0;2;8
ФЛ;МР;8678;9204;8750;3;Перенос/замена модели ONT;1502083099;1502090478;2;0;0;0;1;1;0;0;0;30;1;0;2;8
ФЛ;МР;8678;9633;8750;2;Интернет. Не работает интернет;1502083169;1502150400;4;0;0;0;1;1;1;0;0;48;1;2;2;8
ФЛ;МР;8680;9205;8750;3;Телефония. Тишина в трубке, нет зуммера;1502083773;1502115223;2;0;0;0;1;1;0;0;0;45;1;0;2;8
ФЛ;МР;8678;9204;8750;2;ТВ. Ошибка при активации приставки;1502083865;1502084482;2;0;0;0;1;2;0;0;0;0;0;0;2;8
ФЛ;МР;8679;9633;8750;3;Интернет. Не работает интернет;1502083851;1502094510;19;0;0;0;1;1;0;0;0;19;1;0;2;8
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502084090;1502096420;14;0;0;0;1;2;0;0;0;51;1;0;2;8
ФЛ;МР;8678;9204;8750;3;ONT не на линии. Неисправна розетка;1502084191;1502177015;1;0;0;0;1;1;0;0;0;24;1;1;2;8
ФЛ;МР;8678;9633;8750;2;Интернет. Ошибка 651, 678 или 815;1502084185;1502150400;9;0;0;0;1;1;1;0;0;48;1;1;2;8
